Employment,Country,Student,EdLevel,DevType,YearsCode,CompTotal,CompFreq,ConvertedComp,WorkWeekHrs,Age,Gender,Ethnicity,NormalizedAnnualCompensation
full-time,Hong Kong (S.A.R.),No,Bachelors degree,Developer,5,20000,Monthly,30588,40,24,Man,Asian,240000
full-time,United Kingdom,No,Bachelors degree,Developer,20,45000,Yearly,58881,35,27,Man,White,45000
full-time,Germany,No,Secondary school,Developer,9,52000,Yearly,59579,40,28,Man,White,52000
full-time,Australia,No,Associate degree,Data or business analyst,22,180000,Yearly,130554,45,41,Man,White,180000
full-time,Denmark,No,Associate degree,full-stack,8,600000,Yearly,92073,36,31,Man,White,600000
full-time,United Kingdom,No,Masters degree ,Developer,14,180000,Yearly,235525,37,27,Man,White,180000
full-time,United States,No,Bachelors degree,Developer,9,72000,Monthly,864000,40,24,Man,Black,864000
full-time,Japan,No,Bachelors degree,Developer,6,3200000,Yearly,29225,42,25,Man,Asian,3200000
full-time,India,No,Bachelors degree,Developer,3,,Monthly,,9,24,Man,Asian,
full-time,Canada,No,Bachelors degree,Developer,19,183000,Monthly,1000000,40,29,Man,White,2196000
full-time,United States,No,Bachelors degree,Developer,21,130000,Yearly,130000,50,34,Man,White,130000
full-time,Israel,No,Bachelors degree,Developer,6,24000,Monthly,79176,48,29,Man,Middle Eastern,288000
full-time,Russian Federation,No,Masters degree ,Developer,12,130000,Monthly,23832,40,29,Man,White,1560000
full-time,Ireland,No,Masters degree ,Developer,13,55000,Yearly,63016,38,27,Man,White,55000
full-time,United States,No,Bachelors degree,Developer,25,0,Yearly,0,50,47,Man,White,0
full-time,Hong Kong (S.A.R.),No,Associate degree,Developer,8,,Monthly,,40,26,Man,,
full-time,United Kingdom,No,Bachelors degree,Designer,6,30000,Monthly,471048,37.5,32,Man,White,360000
full-time,Ireland,No,Bachelors degree,full-stack,8,45000,Monthly,618708,38,23,Man,White,540000
full-time,United States,No,No degree,Developer,22,130000,Yearly,130000,40,37,Man,White,130000
full-time,United States,No,Masters degree ,Developer,15,115000,Yearly,115000,40,27,Man,White,115000
full-time,Netherlands,No,Bachelors degree,Developer,9,0,Monthly,0,40,31,Man,White,0
full-time,Guatemala,No,Secondary school,Developer,15,,Weekly,,40,39,Man,Hispanic,
full-time,Germany,No,Bachelors degree,Developer,15,63000,Yearly,72182,40,33,Man,White,63000
part-time,Netherlands,No,No degree,Developer,16,5500,Monthly,75624,32,30,Man,White,66000
full-time,Poland,No,Bachelors degree,Developer,8,,Monthly,,40,28,Man,White,
full-time,Australia,No,Associate degree,full-stack,36,123000,Yearly,89212,50,51,Man,White,123000
full-time,United States,No,Masters degree ,Developer,5,140000,Yearly,140000,40,36,Woman,White,140000
full-time,Latvia,No,Associate degree,Data or business analyst,14,3600,Monthly,49500,40,32,Man,White,43200
full-time,Pakistan,No,Bachelors degree,Academic researcher,5,360000,Yearly,2600,48,24,Man,Asian,360000
full-time,United States,No,Masters degree ,Engineer,6,160000,Yearly,160000,45,31,Man,White,160000
full-time,United States,Yes,No degree,Developer,10,84000,Yearly,84000,40,22,Woman,White,84000
full-time,Poland,Yes,No degree,Developer,8,9100,Monthly,29184,35,24,Man,White,109200
