Employment,Country,Student,EdLevel,DevType,YearsCode,CompTotal,CompFreq,ConvertedComp,WorkWeekHrs,Age,Gender,Ethnicity,NormalizedAnnualCompensation
full-time,Bulgaria,No,Masters degree ,Developer,19,,Monthly,,40,39,Woman,White,
full-time,Ukraine,Yes,Masters degree ,Developer,9,64000,Monthly,27696,40,24,Man,White,768000
full-time,United States,No,Bachelors degree,Developer,8,75000,Yearly,75000,35,23,Man,White,75000
full-time,United States,No,Bachelors degree,Developer,22,117000,Yearly,117000,45,31,Man,White,117000
full-time,India,Yes,Bachelors degree,Developer,7,698000,Yearly,9767,48,25,Man,Asian,698000
full-time,Greece,Yes,Masters degree ,Academic researcher,22,4000,Monthly,54996,35,31,Man,White,48000
full-time,Czech Republic,No,Bachelors degree,Developer,10,,,,,,Man,White,
full-time,Spain,No,Masters degree ,Academic researcher,18,23000,Yearly,26352,40,36,Woman,Hispanic,23000
full-time,United States,No,Masters degree ,full-stack,10,155000,Yearly,155000,50,30,Man,Asian,155000
full-time,United States,No,Bachelors degree,Developer,17,130000,Yearly,130000,40,34,Man,,130000
full-time,Italy,No,No degree,Database administrator,15,2700,Monthly,37128,40,27,Man,White,32400
full-time,United States,Yes,Bachelors degree,Developer,28,105000,Monthly,1260000,42,49,Man,White,1260000
full-time,Germany,No,Bachelors degree,Developer,5,45500,Yearly,52132,35,28,Man,White,45500
full-time,United Kingdom,No,Bachelors degree,full-stack,2,21000,Yearly,27478,40,25,Man,White,21000
full-time,Netherlands,Yes,No degree,Developer,7,2300,Monthly,31620,40,24,Man,Middle Eastern,27600
full-time,Mexico,No,No degree,Database administrator,15,250000,Yearly,13088,45,36,Man,Hispanic,250000
full-time,United States,No,Bachelors degree,Designer,10,1100,Yearly,1100,40,30,Man,Asian,1100
full-time,United States,No,No degree,Developer,19,115000,Yearly,115000,45,35,Man,White,115000
full-time,United States,Yes,No degree,Data scientist or machine learning specialist,13,50000,Yearly,50000,50,21,Non-binary,White,50000
full-time,Canada,No,Bachelors degree,Database administrator,19,,,,,32,Man,White,
full-time,Germany,No,Masters degree ,Database administrator,13,63000,Yearly,72182,40,33,Man,White,63000
full-time,United Kingdom,Yes,Bachelors degree,Developer,20,38000,Monthly,596664,37,44,Man,White,456000
full-time,Sweden,No,Associate degree,full-stack,4,45000,Monthly,59652,40,22,Man,White,540000
full-time,United Kingdom,No,Masters degree ,Data scientist or machine learning specialist,10,150000,Yearly,196271,45,,Man,White,150000
full-time,Ukraine,No,Bachelors degree,DevOps specialist,7,80000,Yearly,80000,40,20,Man,White,80000
full-time,Spain,No,Bachelors degree,full-stack,12,,Monthly,,50,30,Man,Middle Eastern,
full-time,United States,No,No degree,full-stack,14,136000,Yearly,136000,40,32,Man,White,136000
full-time,Poland,No,Professional degree,Data scientist or machine learning specialist,7,4000,Monthly,12828,40,25,Man,,48000
full-time,United States,No,Masters degree ,Developer,9,300000,Yearly,300000,40,28,Woman,White,300000
full-time,Nigeria,No,Bachelors degree,Database administrator,8,,,,40,28,Man,Black,
full-time,Portugal,No,Professional degree,Developer,2,1100,Monthly,15120,40,26,Man,White,13200
full-time,Bulgaria,No,No degree,Developer,17,4000,Monthly,28080,40,28,Man,White,48000
full-time,United States,No,Masters degree ,Database administrator,6,303000,Yearly,303000,60,34,Man,Asian,303000
full-time,Canada,No,No degree,Developer,12,60000,Yearly,45803,37,25,Man,White,60000
full-time,Netherlands,No,Masters degree ,Product manager,33,5500,Monthly,75624,40,59,Man,White,66000
full-time,India,No,Bachelors degree,Developer,4,,Monthly,,,25,Man,Middle Eastern,
full-time,United States,No,No degree,Developer,29,120000,Yearly,120000,40,36,Man,White,120000
full-time,United States,No,Bachelors degree,full-stack,17,110000,Yearly,110000,40,40,Man,White,110000
full-time,Canada,No,Associate degree,Developer,5,55000,Yearly,41986,40,23,Man,White,55000
full-time,Spain,Yes,No degree,Designer,6,21000,Yearly,24061,40,24,Man,White,21000
full-time,India,Yes,Bachelors degree,Developer,1,15000,Monthly,2520,,25,Man,White,180000
part-time,Austria,Yes,No degree,Developer,20,1922,Monthly,26424,32,33,Man,White,23064
full-time,Canada,No,Bachelors degree,Data scientist or machine learning specialist,12,125000,Monthly,1000000,42,30,Man,White,1500000
full-time,Belgium,No,Bachelors degree,Database administrator,10,,Monthly,,36,25,Man,White,
full-time,India,No,Bachelors degree,Developer,3,650000,Yearly,9095,40,24,Man,Asian,650000
full-time,Belarus,Yes,Primary/elementary school,Developer,3,450,Monthly,5400,40,22,Man,White,5400
full-time,Ukraine,Yes,Bachelors degree,Data or business analyst,5,20000,Monthly,3672,40,33,Man,White,240000
full-time,Switzerland,No,Bachelors degree,Developer,6,115000,Yearly,115533,40,27,Man,White,115000
full-time,Germany,No,Masters degree ,Developer,37,50000,Yearly,57287,35,53,Man,White,50000
full-time,India,No,Bachelors degree,Developer,10,80000,Monthly,13428,40,28,Man,Asian,960000
full-time,United States,No,No degree,Developer,8,70000,Yearly,70000,38,28,Man,White,70000
full-time,Colombia,No,Bachelors degree,full-stack,15,8300000,Monthly,32232,45,39,Man,Hispanic,99600000
full-time,Canada,No,Bachelors degree,Developer,11,48000,Yearly,36642,35,25,Man,Hispanic,48000
full-time,Peru,No,Bachelors degree,Developer,3,880,Monthly,3180,40,22,Man,Hispanic,10560
full-time,Nicaragua,No,Bachelors degree,Designer,20,4500,Monthly,54000,48,37,Man,Hispanic,54000
full-time,United Kingdom,No,Masters degree ,Developer,10,100000,Yearly,130847,40,24,Man,White,100000
full-time,United States,No,Bachelors degree,Developer,20,138000,Yearly,138000,40,37,Man,White,138000
full-time,Switzerland,No,Bachelors degree,Developer,20,,Monthly,,45,45,Man,White,
full-time,Canada,No,Bachelors degree,full-stack,18,110000,Yearly,83972,40,30,Man,White,110000
full-time,United States,No,Masters degree ,Developer,12,109000,Yearly,109000,45,30,Man,,109000
full-time,Germany,No,,Developer,37,106000,Yearly,121449,40,47,Man,White,106000
full-time,Australia,No,Bachelors degree,full-stack,15,,Weekly,,40,34,Man,,
full-time,India,Yes,Bachelors degree,Developer,3,260000,Yearly,3638,47.5,27,Man,Asian,260000
full-time,United States,No,Bachelors degree,Developer,20,55000,Yearly,55000,30,40,Man,White,55000
full-time,United States,No,Bachelors degree,Developer,8,110000,Monthly,1320000,40,27,Man,White,1320000
full-time,Switzerland,No,Bachelors degree,,15,120000,Monthly,1000000,36,30,Man,White,1440000
full-time,United States,No,Masters degree ,full-stack,7,90000,Yearly,90000,32,32,Woman,White,90000
full-time,United Kingdom,No,Bachelors degree,Developer,13,34300,Yearly,44881,37.5,34,Man,,34300
part-time,Germany,Yes,Bachelors degree,DevOps specialist,13,800,Monthly,11004,13,26,Man,White,9600
full-time,United Kingdom,No,Masters degree ,Developer,15,57000,Yearly,74583,37.5,28,Man,White,57000
full-time,Germany,No,Masters degree ,Database administrator,25,75000,Yearly,85931,40,49,Man,White,75000
full-time,Brazil,No,No degree,full-stack,10,,Monthly,,42,34,Man,Hispanic,
full-time,Greece,Yes,Bachelors degree,Data or business analyst,14,20000,Yearly,22915,45,39,Man,White,20000
full-time,United States,No,Bachelors degree,Database administrator,49,175000,Yearly,175000,50,71,Man,White,175000
full-time,Germany,No,Bachelors degree,Developer,7,54000,Yearly,61870,37.5,26,Man,White,54000
full-time,Denmark,No,Bachelors degree,Developer,15,720000,Monthly,1000000,35,29,Man,White,8640000
full-time,Austria,No,Bachelors degree,Database administrator,6,2500,Monthly,34368,39,19,Man,White,30000
full-time,Poland,No,Masters degree ,Developer,19,16500,Monthly,52908,40,39,Man,White,198000
full-time,United States,No,Masters degree ,Developer,18,280000,Yearly,280000,45,33,Man,White,280000
full-time,Brazil,No,Masters degree ,Developer,33,8200,Monthly,26880,30,49,Man,White,98400
full-time,United Kingdom,No,Secondary school,Database administrator,9,25000,Monthly,392544,45,19,Woman,White,300000
full-time,South Africa,No,No degree,Database administrator,25,715000,Yearly,53664,40,43,Man,White,715000
full-time,United States,No,Bachelors degree,full-stack,22,120000,Yearly,120000,40,39,Man,White,120000
full-time,China,No,Bachelors degree,Developer,18,,Monthly,,60,36,Man,Asian,
full-time,Canada,No,No degree,Developer,23,100000,Yearly,76339,50,38,Man,White,100000
full-time,United States,No,Bachelors degree,Developer,6,70000,Yearly,70000,40,24,Man,White,70000
full-time,Australia,No,Masters degree ,Database administrator,15,130000,Monthly,1000000,40,39,Man,Asian,1560000
full-time,India,No,Bachelors degree,Developer,4,8,Yearly,0,30,30,Man,Asian,8
full-time,China,Yes,Bachelors degree,full-stack,4,,Monthly,,50,22,Man,Asian,
full-time,India,No,Masters degree ,Data or business analyst,3,,Monthly,,50,28,Man,,
full-time,Netherlands,No,Bachelors degree,Developer,9,2650,Monthly,36432,40,27,Man,White,31800
full-time,Switzerland,No,Bachelors degree,Database administrator,7,65000,Yearly,65301,42,31,Man,White,65000
full-time,Australia,No,Bachelors degree,full-stack,20,120000,Yearly,87036,37.5,,Man,Asian,120000
full-time,Singapore,No,Bachelors degree,Developer,15,,Monthly,,40,33,Man,,
full-time,France,No,Masters degree ,Developer,6,32000,Yearly,36664,35,24,Man,White,32000
full-time,Ukraine,Yes,Bachelors degree,Engineer,8,43000,Monthly,18612,40,22,Woman,White,516000
full-time,New Zealand,No,Masters degree ,Developer,14,92400,Yearly,63728,40,29,Man,White,92400
full-time,United States,No,Masters degree ,full-stack,17,132000,Yearly,132000,40,32,Man,White,132000
full-time,Finland,No,No degree,Developer,20,4100,Monthly,56376,37.5,30,Man,White,49200
full-time,Australia,No,Bachelors degree,Developer,15,135000,Yearly,97915,40,39,Man,Asian,135000
full-time,Australia,No,No degree,Developer,23,142500,Yearly,103355,37.5,37,Man,White,142500
full-time,Brazil,Yes,Bachelors degree,Developer,8,4000,Monthly,13116,40,26,Man,Hispanic,48000
full-time,Lithuania,No,Bachelors degree,Developer,8,2600,Monthly,35748,40,28,Man,Middle Eastern,31200
full-time,United States,No,Bachelors degree,Developer,20,165000,Yearly,165000,45,40,Man,White,165000
full-time,United States,No,Bachelors degree,Developer,12,135000,Yearly,135000,40,26,Man,White,135000
full-time,United States,No,No degree,full-stack,14,170000,Yearly,170000,40,29,Man,White,170000
full-time,Ireland,No,Masters degree ,Developer,17,95000,Yearly,108846,39,37,Man,White,95000
full-time,Germany,No,Secondary school,Developer,40,70000,Yearly,80202,40,56,Man,White,70000
full-time,Sweden,No,Secondary school,DevOps specialist,14,45500,Monthly,60312,40,35,Man,White,546000
full-time,Australia,Yes,Bachelors degree,Developer,10,100000,Yearly,72530,44,29,Man,White,100000
full-time,United States,No,Bachelors degree,full-stack,10,100000,Yearly,100000,44,25,Man,White,100000
full-time,Portugal,No,Secondary school,Developer,8,650,Monthly,8940,35,24,Man,White,7800
full-time,Brazil,Yes,Bachelors degree,full-stack,23,5600,Monthly,18360,44,38,Man,White,67200
full-time,India,No,Bachelors degree,Developer,18,6000000,,,60,35,Man,Asian,
full-time,Germany,Yes,Masters degree ,Developer,24,,Yearly,,,39,Man,White,
full-time,United States,Yes,Bachelors degree,Academic researcher,10,2833,Monthly,33996,40,22,Man,Hispanic,33996
full-time,France,Yes,Masters degree ,Developer,5,1400,Monthly,19248,45,22,Man,Asian,16800
full-time,United States,No,Bachelors degree,full-stack,16,90000,Yearly,90000,40,31,Man,White,90000
full-time,Canada,No,Bachelors degree,full-stack,17,85000,Yearly,64888,39,34,Man,White,85000
full-time,Austria,No,Secondary school,Designer,22,60900,Yearly,69776,42,33,Man,White,60900
full-time,United States,No,Bachelors degree,Developer,7,74000,Yearly,74000,40,28,Man,White,74000
full-time,United States,No,Associate degree,Database administrator,25,115000,Yearly,115000,40,38,Man,White,115000
full-time,United States,No,Bachelors degree,Developer,5,150000,Yearly,150000,35,31,Man,Asian,150000
full-time,Spain,No,Bachelors degree,Developer,12,38000,Yearly,43538,40,29,Man,White,38000
full-time,Hungary,No,Masters degree ,Developer,15,20000000,Yearly,72174,40,26,Man,White,20000000
full-time,Norway,No,Bachelors degree,Developer,10,3000,Monthly,41244,37,29,Woman,White,36000
full-time,Iran,No,Bachelors degree,Developer,7,60000000,Monthly,17100,52,27,Man,Middle Eastern,720000000
full-time,Romania,No,No degree,Developer,2,3400,Monthly,9828,40,23,Woman,Middle Eastern,40800
full-time,Ecuador,No,Bachelors degree,Data or business analyst,7,14300,Yearly,14300,40,25,Man,Hispanic,14300
full-time,India,No,Bachelors degree,Developer,20,2100000,Monthly,352620,10,35,Man,,25200000
full-time,United States,No,Bachelors degree,full-stack,3,54000,Yearly,54000,40,24,Woman,White,54000
full-time,"Congo, Republic of the...",No,Bachelors degree,Database administrator,6,600,Monthly,7200,44,27,Man,Black,7200
full-time,Bulgaria,No,Masters degree ,Database administrator,15,4000,Monthly,28080,40,41,Man,White,48000
full-time,Armenia,No,Bachelors degree,Developer,1,,Monthly,,8,27,Man,,
full-time,France,No,Masters degree ,Developer,9,36000,Yearly,41247,40,25,Man,White,36000
full-time,United Kingdom,No,Bachelors degree,full-stack,1,24000,Yearly,31403,37.5,27,Non-binary,,24000
part-time,Germany,Yes,No degree,Developer,6,900,Monthly,12372,12,20,Man,White,10800
full-time,Netherlands,Yes,No degree,Developer,17,21966,Yearly,25168,32,24,Man,White,21966
full-time,United States,No,No degree,Developer,36,149000,Yearly,149000,40,46,Man,White,149000
full-time,India,No,Bachelors degree,Data scientist or machine learning specialist,10,469000,Yearly,6563,50,24,Man,Asian,469000
full-time,United States,No,Bachelors degree,Developer,14,105000,Monthly,1260000,45,28,Man,White,1260000
full-time,Germany,No,No degree,Developer,24,55000,Yearly,63016,40,39,Man,White,55000
full-time,Netherlands,Yes,Masters degree ,Developer,6,3600,Monthly,49500,40,29,Man,White,43200
full-time,United Kingdom,No,No degree,Database administrator,10,39000,Yearly,51030,40,34,Man,White,39000
full-time,Mexico,No,Bachelors degree,Academic researcher,12,27000,Monthly,16968,50,36,Man,Multiracial,324000
full-time,Denmark,Yes,Bachelors degree,Database administrator,12,400000,Yearly,61382,37,22,Man,White,400000
full-time,South Africa,No,Bachelors degree,full-stack,15,850000,Yearly,63797,45,35,Man,White,850000
full-time,Sweden,No,Bachelors degree,Designer,14,47000,Monthly,62304,40,29,Man,White,564000
full-time,Armenia,No,No degree,Developer,5,65000,Monthly,1596,40,19,Man,Middle Eastern,780000
full-time,Brazil,No,Bachelors degree,full-stack,4,1500,Monthly,4920,45,21,Man,White,18000
full-time,Sri Lanka,,Bachelors degree,Developer,5,,Monthly,,45,25,Woman,,
full-time,Hungary,No,Bachelors degree,Developer,7,,Monthly,,45,30,Woman,White,
full-time,Romania,No,Bachelors degree,Developer,4,12500,Monthly,36144,50,30,Man,White,150000
full-time,Ukraine,No,Masters degree ,Developer,30,125000,Monthly,54096,6,42,Man,White,1500000
full-time,India,No,Bachelors degree,Developer,10,1075000,Yearly,15042,40,27,Man,,1075000
full-time,United Kingdom,No,No degree,Developer,19,100000,Yearly,130847,45,29,Man,White,100000
full-time,Australia,No,Bachelors degree,Designer,25,248000,Yearly,179874,40,36,Man,White,248000
full-time,Brazil,Yes,Professional degree,full-stack,13,8000,Monthly,26232,30,30,Man,Hispanic,96000
full-time,Canada,No,Bachelors degree,Developer,5,40000,Yearly,30535,44,22,Man,Biracial,40000
full-time,United States,No,Bachelors degree,Developer,8,76958,Yearly,76958,40,,Man,White,76958
full-time,Romania,No,Bachelors degree,Database administrator,12,21440,Monthly,61992,40,31,Man,White,257280
full-time,United States,No,No degree,Designer,6,40000,Yearly,40000,43,19,Man,White,40000
full-time,United States,No,Masters degree ,Developer,40,163500,Yearly,163500,40,54,Man,White,163500
full-time,United States,No,Bachelors degree,Developer,20,150000,Yearly,150000,40,39,Man,White,150000
full-time,Canada,No,Bachelors degree,Developer,10,77000,Yearly,58781,35,26,Man,White,77000
full-time,India,Yes,Masters degree ,Data scientist or machine learning specialist,6,2530000,Yearly,35402,45,30,Man,Asian,2530000
full-time,United States,No,Bachelors degree,Database administrator,13,70000,Yearly,70000,45,30,Man,Hispanic,70000
full-time,South Africa,No,Bachelors degree,Developer,15,1,Monthly,0,40,,Man,Asian,12
full-time,Germany,No,Masters degree ,full-stack,10,50400,Yearly,57746,40,26,Man,White,50400
part-time,Israel,Yes,Bachelors degree,Developer,7,25000,Monthly,82476,50,25,Man,Asian,300000
full-time,Spain,No,Masters degree ,Database administrator,20,50000,Yearly,57287,45,39,Man,White,50000
full-time,France,No,Associate degree,Developer,10,30000,Yearly,34372,37,32,Man,Black,30000
full-time,Sweden,No,Secondary school,full-stack,3,20000,Monthly,26508,40,20,Man,White,240000
full-time,United States,No,Bachelors degree,Developer,30,130000,Yearly,130000,35,38,Man,White,130000
full-time,Netherlands,No,Bachelors degree,Data or business analyst,13,54600,Yearly,62558,40,24,Man,White,54600
full-time,United Kingdom,No,Other doctoral degree ,Senior executive/VP,10,50000,Monthly,785088,40,39,Man,White,600000
full-time,Hong Kong (S.A.R.),No,Masters degree ,Developer,10,336000,Yearly,42820,40,30,Man,Asian,336000
full-time,India,No,Masters degree ,Designer,5,,Monthly,,60,22,Woman,,
full-time,United States,No,Masters degree ,Developer,8,180000,Yearly,180000,45,27,Woman,Asian,180000
full-time,Bolivia,Yes,Masters degree ,Developer,15,9000,Monthly,15624,45,33,Man,Hispanic,108000
full-time,Germany,No,Bachelors degree,Developer,6,3200,Monthly,43992,39,24,Woman,White,38400
full-time,Russian Federation,No,No degree,Developer,14,153000,Monthly,28044,40,28,,,1836000
full-time,United States,No,Masters degree ,Developer,36,141000,Yearly,141000,37,46,Man,White,141000
full-time,Italy,No,Bachelors degree,Developer,11,28000,Yearly,32081,40,30,Man,White,28000
full-time,Brazil,No,Bachelors degree,Developer,10,6500,Monthly,21312,40,27,Man,White,78000
full-time,United States,No,Bachelors degree,Database administrator,25,160000,Yearly,160000,45,45,Man,White,160000
full-time,Hong Kong (S.A.R.),No,Bachelors degree,Data or business analyst,4,20000,Monthly,30588,37.5,23,Woman,Asian,240000
full-time,United States,No,No degree,,9,78000,Yearly,78000,40,37,Man,White,78000
full-time,Russian Federation,Yes,Associate degree,Developer,8,,Monthly,,40,21,Man,White,
full-time,Germany,No,Masters degree ,Developer,20,86000,Yearly,98534,35,38,Man,White,86000
full-time,United Kingdom,No,No education,DevOps specialist,16,88000,Monthly,1000000,45,30,Man,White,1056000
full-time,United States,No,Bachelors degree,Academic researcher,40,140000,Yearly,140000,40,56,Man,White,140000
full-time,Canada,No,Bachelors degree,Data or business analyst,15,80000,Yearly,61071,40,34,Man,Native,80000
full-time,United States,No,Bachelors degree,Developer,7,105000,Yearly,105000,40,31,Man,Hispanic,105000
full-time,United States,No,No degree,Designer,40,120000,Yearly,120000,40,51,Man,White,120000
full-time,Mexico,No,Bachelors degree,Developer,27,,Weekly,,47.5,38,Man,Hispanic,
full-time,India,Yes,Associate degree,Data or business analyst,18,2000000,Yearly,27986,40,41,Man,,2000000
full-time,Russian Federation,No,Bachelors degree,Developer,5,45000,Monthly,8244,40,24,Man,White,540000
full-time,United States,No,No degree,Database administrator,30,120000,Yearly,120000,40,59,Man,White,120000
full-time,United Kingdom,No,Bachelors degree,Designer,9,46500,Yearly,60844,40,24,Man,White,46500
full-time,Belgium,No,Bachelors degree,Developer,18,3700,Monthly,50868,40,30,Man,White,44400
full-time,Russian Federation,No,Bachelors degree,Developer,6,130000,Monthly,23832,40,26,Man,White,1560000
full-time,Hungary,No,Bachelors degree,Database administrator,5,240000,Monthly,10392,40,22,Man,White,2880000
full-time,Poland,No,Secondary school,Data scientist or machine learning specialist,1,8500,Monthly,27252,55,23,Man,White,102000
full-time,United Kingdom,No,Bachelors degree,Data or business analyst,10,25000,Yearly,32712,37.5,24,Man,White,25000
full-time,Spain,No,Masters degree ,Engineer,30,82500,Yearly,94524,40,44,Man,White,82500
full-time,Portugal,No,Masters degree ,Developer,14,15880,Yearly,18195,42,28,Man,Hispanic,15880
full-time,Austria,No,Masters degree ,Developer,18,49000,Yearly,56142,40,33,Man,White,49000
full-time,Nigeria,No,Bachelors degree,Data scientist or machine learning specialist,5,336000,Monthly,11172,45,23,Man,Black,4032000
full-time,Russian Federation,No,No education,Developer,4,130000,Monthly,23832,8,27,Man,White,1560000
part-time,Canada,Yes,No degree,Student,10,600,Weekly,22900,20,27,Man,Native,31200
full-time,Israel,No,Bachelors degree,Developer,15,29000,Monthly,95664,55,28,Man,Middle Eastern,348000
full-time,Peru,No,Masters degree ,Academic researcher,17,114000,Yearly,34286,40,33,Man,Hispanic,114000
full-time,United States,No,Bachelors degree,System administrator,20,33550,Yearly,33550,40,34,Woman,White,33550
full-time,Iran,Yes,Masters degree ,Academic researcher,2,15000000,Monthly,4272,50,25,Man,Middle Eastern,180000000
full-time,Saudi Arabia,Yes,Bachelors degree,Database administrator,10,,Monthly,,40,52,Man,Middle Eastern,
full-time,United States,No,Bachelors degree,Developer,15,138000,Monthly,1656000,36,36,Man,White,1656000
full-time,Netherlands,No,Bachelors degree,Developer,19,4500,Monthly,61872,40,34,Man,Hispanic,54000
full-time,Serbia,Yes,Other doctoral degree ,Academic researcher,8,76000,Monthly,8820,41,28,Man,White,912000
part-time,Netherlands,Yes,No degree,Developer,7,1320,Monthly,18144,24,19,Man,White,15840
full-time,United States,Yes,Masters degree ,Developer,5,3000,Monthly,36000,40,26,Man,White,36000
full-time,Germany,No,Bachelors degree,full-stack,10,1500,Monthly,20628,38,31,Man,White,18000
full-time,United States,No,Bachelors degree,Developer,6,64000,Yearly,64000,40,22,Man,White,64000
full-time,United States,No,Bachelors degree,Developer,18,85000,Yearly,85000,42,34,Man,White,85000
full-time,India,No,Bachelors degree,Designer,4,750000,Yearly,10495,45,28,Man,Asian,750000
full-time,United States,No,Bachelors degree,Developer,25,192000,Yearly,192000,40,37,Man,,192000
full-time,Ghana,No,Bachelors degree,Developer,14,3500,Monthly,8412,50,36,Man,Black,42000
full-time,United Kingdom,No,Bachelors degree,Developer,6,21000,Yearly,27478,40,26,Man,White,21000
full-time,United States,No,Bachelors degree,Developer,6,87000,Yearly,87000,40,26,Woman,White,87000
full-time,Germany,No,Masters degree ,Developer,11,45000,Yearly,51559,40,26,Man,Middle Eastern,45000
full-time,United States,No,No degree,Database administrator,19,340000,Yearly,340000,40,39,Man,White,340000
full-time,France,No,Masters degree ,Developer,33,49000,Yearly,56142,10,52,Man,White,49000
full-time,United States,No,Bachelors degree,Data or business analyst,2,118000,Yearly,118000,40,31,Woman,White,118000
full-time,Spain,No,Professional degree,Developer,13,22000,Yearly,25206,40,33,Man,Hispanic,22000
full-time,Serbia,No,Masters degree ,Developer,10,,Monthly,,40,27,Woman,White,
full-time,United States,No,Bachelors degree,Developer,7,140000,Yearly,140000,40,24,Man,White,140000
full-time,United States,No,No degree,full-stack,1,45000,Yearly,45000,40,23,Man,White,45000
full-time,United States,No,Other doctoral degree ,Academic researcher,11,120000,Yearly,120000,80,29,Man,White,120000
full-time,India,Yes,Bachelors degree,full-stack,2,300000,Monthly,50376,54,25,Man,,3600000
full-time,United Kingdom,No,Masters degree ,Developer,17,39600,Yearly,51816,42,35,Man,White,39600
full-time,France,No,,full-stack,9,42000,Monthly,577452,35,28,Man,White,504000
full-time,Australia,No,Masters degree ,Developer,8,90000,Yearly,65277,38,27,Man,Asian,90000
full-time,United States,No,Bachelors degree,Data or business analyst,37,205000,Yearly,205000,50,49,Man,White,205000
full-time,United States,No,Bachelors degree,Developer,16,155000,Yearly,155000,45,32,Man,Black,155000
full-time,Turkey,No,Bachelors degree,Developer,17,12000,Monthly,27648,45,38,Man,Middle Eastern,144000
full-time,Israel,No,Secondary school,Developer,7,27000,Monthly,89076,9,29,Man,Middle Eastern,324000
full-time,United States,No,Bachelors degree,Developer,16,73000,Yearly,73000,45,28,Woman,Black,73000
full-time,India,No,,Academic researcher,8,448000,Yearly,6269,45,22,Man,Asian,448000
full-time,India,No,Masters degree ,Data scientist or machine learning specialist,9,750000,Yearly,10495,45,28,Man,Asian,750000
full-time,Estonia,No,Masters degree ,Developer,30,2700,Monthly,37128,40,56,Man,White,32400
full-time,Israel,No,No degree,full-stack,4,,Monthly,,45,35,Man,Middle Eastern,
full-time,Ukraine,No,Masters degree ,Database administrator,17,80000,Monthly,34620,40,31,Man,White,960000
full-time,Italy,No,No degree,full-stack,11,25000,Monthly,343728,40,26,Man,White,300000
full-time,Poland,No,Masters degree ,Developer,12,13500,Monthly,43284,40,29,Man,White,162000
full-time,Australia,No,Bachelors degree,full-stack,2,70000,Yearly,50771,40,32,Woman,White,70000
full-time,United Kingdom,No,Bachelors degree,Developer,15,45000,Monthly,706572,35,25,Man,White,540000
full-time,United States,No,Bachelors degree,Database administrator,7,40000,Yearly,40000,40,29,Man,White,40000
full-time,United States,No,Bachelors degree,Database administrator,18,67000,Yearly,67000,40,31,Man,White,67000
full-time,Spain,No,Masters degree ,Developer,10,45000,Yearly,51559,40,30,Man,Hispanic,45000
full-time,United States,No,Bachelors degree,Developer,2,80000,Yearly,80000,40,26,Man,White,80000
full-time,Poland,Yes,Masters degree ,Developer,7,7500,Monthly,24048,40,25,Man,White,90000
full-time,Malaysia,No,Bachelors degree,Database administrator,17,9000,Monthly,26364,,30,Man,,108000
full-time,Australia,No,Bachelors degree,Data scientist or machine learning specialist,29,165000,Yearly,119674,40,41,Man,White,165000
full-time,India,No,Bachelors degree,Developer,5,900000,Yearly,12594,45,23,Man,Asian,900000
full-time,India,No,Masters degree ,Developer,9,80000,Monthly,13428,40,31,Man,Asian,960000
part-time,Australia,Yes,No education,full-stack,8,1000,Monthly,8700,12,16,Man,White,12000
full-time,United States,No,No degree,Data or business analyst,5,70000,Yearly,70000,45,28,Man,White,70000
full-time,Denmark,No,Masters degree ,Developer,8,50000,Monthly,92076,37,30,Man,White,600000
full-time,Germany,No,Masters degree ,Developer,12,60000,Yearly,68745,40,29,Man,White,60000
full-time,United Kingdom,No,No degree,Database administrator,6,21250,Yearly,27805,37,24,Man,White,21250
full-time,United States,No,Bachelors degree,Data or business analyst,10,,,,50,32,Man,White,
full-time,Brazil,No,No degree,full-stack,23,384000,Yearly,104905,40,,Man,White,384000
full-time,United States,Yes,Masters degree ,Academic researcher,8,122500,Yearly,122500,50,31,Man,White,122500
full-time,Netherlands,No,Masters degree ,Data or business analyst,25,59000,Yearly,67599,38,40,Man,White,59000
full-time,Germany,No,Bachelors degree,Database administrator,12,57000,Yearly,65308,40,37,Man,White,57000
part-time,Russian Federation,Yes,Bachelors degree,full-stack,6,4200,Weekly,3200,21,22,Man,,218400
full-time,United Kingdom,No,Bachelors degree,Designer,5,26367,Yearly,34500,40,23,Woman,White,26367
full-time,France,Yes,Masters degree ,Developer,2,1250,Weekly,71600,35,38,Man,White,65000
full-time,United States,No,Bachelors degree,full-stack,14,104000,Yearly,104000,40,28,Man,White,104000
full-time,India,No,No degree,Developer,11,500000,Yearly,6996,35,23,Man,,500000
full-time,Australia,No,Masters degree ,Developer,22,,,,40,40,Man,White,
full-time,United States,No,Masters degree ,Developer,10,116000,Monthly,1392000,42,27,Man,Asian,1392000
full-time,United States,No,No degree,Developer,3,88000,Yearly,88000,40,34,Man,White,88000
full-time,Canada,No,Bachelors degree,Designer,11,93500,Yearly,71376,32.5,24,Man,White,93500
full-time,Brazil,No,Bachelors degree,Developer,10,4590,Monthly,15048,40,30,Man,Hispanic,55080
full-time,Cyprus,No,Masters degree ,Data scientist or machine learning specialist,8,25000,Yearly,28644,45,26,Man,White,25000
full-time,Ukraine,No,Bachelors degree,Developer,22,68000,Monthly,29424,35,35,Man,White,816000
full-time,United Kingdom,No,Other doctoral degree ,full-stack,1,35000,Yearly,45797,40,28,Man,White,35000
full-time,United States,No,Bachelors degree,Data or business analyst,3,100000,Yearly,100000,42,34,Man,White,100000
